SAS_No,Parti No,Malzeme Kodu,Teslimat Miktarı
SAS-5581743944,2604032377,120577754,2
SAS-5581743944,2604081007,120507296,36
SAS-5581743944,2604081004,120507296,36
SAS-5581743944,2604080976,120507296,36
SAS-5581743944,2604080975,120507296,36
SAS-5581743944,2604081005,120507296,36
SAS-5581743944,2604081001,120507296,36
SAS-5581743944,2604081003,120507296,36
SAS-5581743944,2604081000,120507296,36
SAS-5581743944,2604080997,120507296,36
SAS-5581743944,2604080995,120507296,36
SAS-5581743944,2604081267,120507296,25
SAS-5581743944,2604080993,120507296,36
SAS-5581743944,2604080972,120507296,36
SAS-5581743944,2604080977,120507296,36
SAS-5581743944,2604080962,120507296,36
SAS-5581743944,2604080970,120507296,36
SAS-5581743944,2604080969,120507296,36
SAS-5581743944,2604080961,120507296,36
SAS-5581743944,2604080964,120507296,36
SAS-5581743944,2604080963,120507296,36
SAS-5581743944,2604080959,120507296,36
SAS-5581743944,2604080958,120507296,36
SAS-5581743944,2604080960,120507296,36
SAS-5581743944,2604081275,120507296,28
SAS-5581743944,2604081268,120507296,36
SAS-5581743944,2604080992,120507296,36
SAS-5581743944,2604080994,120507296,36
SAS-5581743944,2604080988,120507296,36
SAS-5581743944,2604081273,120507296,36
SAS-5581743944,2604081271,120507296,36
SAS-5581743944,2604081274,120507296,36
SAS-5581743944,2604040087,120577755,2
SAS-5581743944,2604072633,120238611,109
SAS-5581743944,2604072665,120575364,108
SAS-5581743944,2604072576,120575364,109
SAS-5581743944,2604072578,120575364,110
SAS-5581743944,2604072574,120575364,109
SAS-5581743944,2604072594,120575364,109
SAS-5581743944,2604072575,120575364,109
SAS-5581743944,2604072577,120575364,109
SAS-5581743944,2604072691,120568913,109
SAS-5581743944,2604072675,120547525,108
SAS-5581743944,2604072670,120238611,108
SAS-5581743944,2604072595,120575364,109
SAS-5581743944,2604072735,120565279,108
SAS-5581743944,2604072725,120576991,108
SAS-5581743944,2604072730,120568912,108
SAS-5581743944,2604072592,120575364,109
SAS-5581743944,2604072593,120575364,109
SAS-5581743944,2604072596,120575364,109
SAS-5581743944,2604072603,120575364,109
SAS-5581743944,2604072604,120575364,109
SAS-5581743944,2604072622,120575364,109
SAS-5581743944,2604072621,120575364,109
SAS-5581743944,2604072605,120575364,109
SAS-5581743944,2604072705,120563803,109
SAS-5581743944,2604072709,120563803,109
SAS-5581743944,2604072702,120245701,109
SAS-5581743944,2604072710,120563803,109
SAS-5581743944,2604072724,120576991,108
SAS-5581743944,2604072733,120565279,108
SAS-5581743944,2604072734,120565279,108
SAS-5581743944,2604072759,120565516,106
SAS-5581743944,2604040086,120577755,2
SAS-5581743944,2604040085,120577755,2
SAS-5581743944,2604040083,120577755,2
SAS-5581743944,2604040082,120577755,2
SAS-5581743944,2604080973,120507296,36
SAS-5581743944,2604081188,120507296,36
SAS-5581743944,2604080980,120507296,36
SAS-5581743944,2604081272,120507296,36
SAS-5581743944,2604080979,120507296,36
SAS-5581743944,2604081270,120507296,36
SAS-5581743944,2604081269,120507296,36
SAS-5581743944,2604081189,120507296,36
SAS-5581743944,2604081187,120507296,36
SAS-5581743944,2604081190,120507296,36
SAS-5581743944,2604081197,120507296,36
SAS-5581743944,2604081198,120507296,36
SAS-5581743944,2604072669,120238611,108
SAS-5581743944,2604072672,120238611,108
SAS-5581743944,2603301701,120576754,10
SAS-5581743944,2604080983,120507296,36
SAS-5581743944,2604081192,120507296,36
SAS-5581743944,2604081193,120507296,36
SAS-5581743944,2604081191,120507296,36
SAS-5581743944,2604080986,120507296,36
SAS-5581743944,2604080985,120507296,36
