hammadde kodu;YARI MAMUL ADI;BAĞLI BLOK STOK KODU;BAĞLI BLOK STOK ADI
HASUPL11580;YARIMAMUL SÜNGER 27 DNS YEŞİL ALOVERA SOFT PLAKA 191X137X2,5;HASURL0308;SUNGER RULO 27 DNS ALOVERA YESIL 198X2,5 SOFT
HASUPL11581;YARIMAMUL SÜNGER 27 DNS YEŞİL ALOVERA SOFT PLAKA 191X137X4;HASURL0310;SUNGER RULO 27 DNS ALOVERA YESIL 198X3,8 SOFT
HASUPL11582;YARIMAMUL SÜNGER 27 DNS YEŞİL ALOVERA SOFT PLAKA 195X145X3,8;HASURL0310;SUNGER RULO 27 DNS ALOVERA YESIL 198X3,8 SOFT
HASUPL11583;YARIMAMUL SÜNGER 27 DNS YEŞİL ALOVERA SOFT PLAKA 195X145X4;HASURL0310;SUNGER RULO 27 DNS ALOVERA YESIL 198X3,8 SOFT
HASUPL11584;YARIMAMUL SÜNGER 27 DNS YEŞİL ALOVERA SOFT PLAKA 195X148X2,5;HASURL0308;SUNGER RULO 27 DNS ALOVERA YESIL 198X2,5 SOFT
HASUPL11585;YARIMAMUL SÜNGER 27 DNS YEŞİL ALOVERA SOFT PLAKA 195X148X3,8;HASURL0310;SUNGER RULO 27 DNS ALOVERA YESIL 198X3,8 SOFT
HASUPL11586;YARIMAMUL SÜNGER 27 DNS YEŞİL ALOVERA SOFT PLAKA 195X155X2,5;HASURL0308;SUNGER RULO 27 DNS ALOVERA YESIL 198X2,5 SOFT
HASUPL11587;YARIMAMUL SÜNGER 27 DNS YEŞİL ALOVERA SOFT PLAKA 195X155X3,8;HASURL0310;SUNGER RULO 27 DNS ALOVERA YESIL 198X3,8 SOFT
HASUPL11588;YARIMAMUL SÜNGER 27 DNS YEŞİL ALOVERA SOFT PLAKA 195X175X3,8;HASURL0310;SUNGER RULO 27 DNS ALOVERA YESIL 198X3,8 SOFT
HASUPL11589;YARIMAMUL SÜNGER 27 DNS YEŞİL ALOVERA SOFT PLAKA 195X178X2,5;HASURL0308;SUNGER RULO 27 DNS ALOVERA YESIL 198X2,5 SOFT
HASUPL11590;YARIMAMUL SÜNGER 27 DNS YEŞİL ALOVERA SOFT PLAKA 195X178X4;HASURL0310;SUNGER RULO 27 DNS ALOVERA YESIL 198X3,8 SOFT
HASUPL11591;YARIMAMUL SÜNGER 27 DNS YEŞİL ALOVERA SOFT PLAKA 195X195X3,8;HASURL0310;SUNGER RULO 27 DNS ALOVERA YESIL 198X3,8 SOFT
HASUPL11596;YARIMAMUL SÜNGER 27 DNS YEŞİL ALOVERA SOFT PLAKA 198X118X2,5;HASURL0308;SUNGER RULO 27 DNS ALOVERA YESIL 198X2,5 SOFT
HASUPL11597;YARIMAMUL SÜNGER 27 DNS YEŞİL ALOVERA SOFT PLAKA 198X118X3;HASURL0309;SUNGER RULO 27 DNS ALOVERA YESIL 198X3 SOFT
HASUPL11598;YARIMAMUL SÜNGER 27 DNS YEŞİL ALOVERA SOFT PLAKA 198X118X4;HASURL0310;SUNGER RULO 27 DNS ALOVERA YESIL 198X3,8 SOFT
